Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
CYUL,KTEB,123,2025-09,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Quebec,CA,118,45.4706001282,-73.7407989502,America/Toronto,TEB,Teterboro Airport,Teterboro,New Jersey,US,9,40.8501014709,-74.060798645,America/New_York
CYUL,KEWR,424,2025-09,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Quebec,CA,118,45.4706001282,-73.7407989502,America/Toronto,EWR,Newark Liberty International Airport,Newark,New Jersey,US,18,40.6925010681,-74.1687011719,America/New_York
KLGA,KTEB,93,2025-09,LGA,La Guardia Airport,New York,New York,US,21,40.77719879,-73.87259674,America/New_York,TEB,Teterboro Airport,Teterboro,New Jersey,US,9,40.8501014709,-74.060798645,America/New_York
KIAD,KPHL,236,2025-09,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York
EDDF,KORD,284,2025-09,FRA,Frankfurt am Main International Airport,Frankfurt-am-Main,Hesse,DE,364,50.0264015198,8.543129921,Europe/Berlin,ORD,Chicago O'Hare International Airport,Chicago,Illinois,US,672,41.97859955,-87.90480042,America/Chicago
KFLL,KTEB,95,2025-09,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,Florida,US,9,26.072599411,-80.1527023315,America/New_York,TEB,Teterboro Airport,Teterboro,New Jersey,US,9,40.8501014709,-74.060798645,America/New_York
KDAL,KIND,116,2025-09,DAL,Dallas Love Field,Dallas,Texas,US,487,32.8470993042,-96.8517990112,America/Chicago,IND,Indianapolis International Airport,Indianapolis,Indiana,US,797,39.717300415,-86.2944030762,America/Indiana/Indianapolis
KIAD,KMDW,103,2025-09,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,MDW,Chicago Midway International Airport,Chicago,Illinois,US,620,41.7859992981,-87.7524032593,America/Chicago
CYYZ,KTEB,392,2025-09,YYZ,Lester B. Pearson International Airport,Toronto,Ontario,CA,569,43.6772003174,-79.6305999756,America/Toronto,TEB,Teterboro Airport,Teterboro,New Jersey,US,9,40.8501014709,-74.060798645,America/New_York
KIAD,KTPA,282,2025-09,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,TPA,Tampa International Airport,Tampa,Florida,US,26,27.9755001068,-82.533203125,America/New_York
KDEN,KTPA,383,2025-09,DEN,Denver International Airport,Denver,Colorado,US,5431,39.8616981506,-104.672996521,America/Denver,TPA,Tampa International Airport,Tampa,Florida,US,26,27.9755001068,-82.533203125,America/New_York
KEWR,KTPA,342,2025-09,EWR,Newark Liberty International Airport,Newark,New Jersey,US,18,40.6925010681,-74.1687011719,America/New_York,TPA,Tampa International Airport,Tampa,Florida,US,26,27.9755001068,-82.533203125,America/New_York
KATL,KIAD,591,2025-09,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,1026,33.6366996765,-84.4281005859,America/New_York,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York
